timeId,x,y
732987,200.50189,174.2099
733038,200.35126,174.52905
733092,200.13647,174.63828
733149,199.87213,174.71014
733207,199.17365,174.78622
733261,198.82166,174.66379
733306,196.8912,173.06697
733361,197.11136,173.20769
733414,196.44019,173.18774
733468,196.2732,173.19516
733522,196.60492,173.37161
733582,196.44098,173.15695
733659,194.01767,170.60515
733714,194.12799,170.99124
733781,192.11926,169.52484
733850,190.70505,168.19748
733894,190.05626,167.62494
733948,189.80893,167.4022
734001,189.31516,167.6356
734053,189.32794,168.26642
734105,188.0101,168.31445
734155,186.78244,167.5863
734220,186.28152,166.37225
734269,185.49075,165.96402
734318,187.97833,162.67944
734368,186.61415,164.13252
734421,185.93509,164.83319
734478,185.58408,165.10313
734529,184.63368,164.26727
734592,184.4821,162.96461
734645,184.08208,164.01912
734711,182.33499,165.04526
734766,180.82416,166.16626
734819,180.27342,166.82095
734873,179.61243,167.43234
734927,179.29684,167.55356
734994,178.94092,167.54099
735056,178.18553,167.76013
735127,177.82623,168.1405
735189,177.45651,168.43057
735246,177.01868,168.64279
735298,176.5951,168.6947
735347,176.27924,168.54239
735405,176.08914,168.2998
735475,175.93431,168.09
735520,175.8126,167.82568
735576,175.68826,167.49722
735631,175.68246,167.26318
735697,175.80923,166.9494
735754,175.8761,166.9364
735806,176.33916,166.7858
735867,176.72208,166.71844
735922,177.04654,166.65393
735976,177.26595,166.57669
736034,177.56989,166.36949
736102,177.95105,166.2733
736153,178.40466,166.17432
736218,178.73044,165.9496
736289,179.13377,165.64914
736354,179.50705,165.35498
736411,179.88737,164.86426
736473,180.1823,164.53548
736539,180.57976,163.8876
736605,180.87921,163.4043
736670,181.06323,162.94547
736732,181.22253,162.59698
736777,181.535,162.50891
736828,181.77762,162.4636
736884,181.90872,162.28539
736933,181.9999,161.70328
737001,182.01321,161.04599
737052,182.23859,160.7099
737105,182.33612,160.96805
737155,182.40855,161.27402
737208,182.65779,161.10959
737268,182.68216,160.81372
737312,182.89226,160.55258
737368,183.10977,160.57803
737436,183.29263,160.70367
737501,183.3996,160.82187
737564,183.47522,161.02074
737619,183.57,161.26886
737674,183.30466,161.64438
737736,183.57361,161.82303
737799,183.68088,161.96579
737855,183.86893,162.00546
737908,184.01892,162.43216
737962,184.39603,162.96994
738018,183.55045,163.70178
738064,183.09363,163.52957
738116,182.71643,163.3436
738179,182.69284,162.94058
738230,182.28842,163.03366
738283,182.69351,163.62918
738341,182.0664,163.54312
738406,181.69061,164.0299
738465,182.16055,164.09753
738518,181.7799,165.72473
738573,181.80704,166.78217
738624,181.95786,167.07007
738687,182.16858,167.57196
738740,182.1586,167.78015
738797,182.56117,168.06299
738860,182.88692,168.23361
738922,183.30455,168.31602
738983,183.65622,168.35867
739042,183.91782,168.5379
739095,184.20735,168.5997
739151,184.47879,168.76013
739216,184.99664,168.91599
739269,185.6125,168.96432
739324,186.10034,169.16164
739382,186.20532,169.10152
739437,186.26721,169.13135
739496,186.61563,169.3205
739548,186.81401,169.52081
739610,186.90399,169.80383
739673,187.1019,170.01532
739720,187.36475,170.21863
739776,187.49919,170.31335
739833,187.63069,170.41283
739899,187.6792,170.64127
739967,187.66956,170.68326
740014,187.54941,170.73239
740061,187.49246,170.7571
740114,187.28003,170.66916
740166,187.021,170.50443
740227,186.84174,170.42636
740285,186.59413,170.24194
740334,186.10635,170.42299
740395,185.18607,170.84058
740456,184.91843,170.99945
740512,184.39922,171.38431
740565,183.99373,171.29941
740629,183.38397,171.0117
740681,182.79663,170.94495
740732,182.20464,170.84543
740788,181.67584,170.79889
740844,181.30728,170.49335
740899,180.74951,170.2238
740949,180.21136,169.11588
741004,179.88718,168.80481
741054,179.61844,168.51025
741105,178.9064,168.18503
741164,178.34877,167.67876
741233,178.024,167.35919
741279,177.89734,166.6105
741331,177.664,166.39249
741382,177.46967,166.04514
741435,176.37302,165.8963
741487,174.53223,164.20242
741781,174.48474,164.9288
741832,174.45108,165.1103
741881,174.41309,166.19472
741936,174.20993,166.96686
741988,173.8107,166.9386
742045,173.7352,166.46118
742100,173.0917,165.60019
742161,172.5083,165.34482
742218,171.97495,165.23755
742272,171.83356,165.31302
742338,172.2191,165.61435
742395,172.33386,165.8642
742448,172.03104,165.9758
742513,172.15887,166.00888
742578,173.41861,166.52228
742631,174.3128,167.19763
742695,174.90344,167.71124
742754,175.19962,167.87798
742814,175.26099,167.75468
742870,174.85849,167.75784
742939,175.09528,167.32166
742989,175.22241,167.17749
743047,175.52629,166.66193
743095,175.77835,166.29324
743163,176.27467,166.08574
743218,176.77563,166.1849
743271,176.3937,165.96365
743326,176.27545,165.79465
743396,177.22395,165.61517
743443,178.16278,165.87039
743503,179.33667,166.74677
743549,179.86674,167.26355
743629,180.23221,168.13977
743686,181.00789,168.79456
743750,181.54608,169.25
743806,182.30273,169.22876
743873,182.9313,169.20518
743934,183.37274,168.92358
743993,183.5943,168.85715
744061,183.9161,169.0756
744123,183.87195,168.73048
744180,183.44913,168.6101
744250,183.15276,168.85501
744314,182.50067,168.69849
744405,182.54855,168.54176
744464,182.44736,168.21022
744569,182.23193,167.82376
744631,181.2476,167.7687
744698,180.28561,167.00987
744753,179.53638,166.7013
744805,179.1789,165.79843
744871,178.71188,164.66525
745220,177.74173,162.96655
745271,176.88391,160.01932
745386,176.87494,158.0479
745441,176.39214,156.76721
745497,177.00836,155.59863
745562,177.3176,155.11774
745618,177.52505,154.19214
745673,178.28264,154.28607
745736,179.35837,153.50803
745788,180.46857,152.43565
745845,181.68463,151.75873
745898,182.87997,150.79655
745962,184.18259,149.89377
746019,185.39116,149.48708
746073,186.58398,149.17899
746139,187.80478,149.18317
746204,188.88472,149.05673
746256,189.79556,149.01173
746309,190.55182,148.85757
746363,191.15167,148.79413
746414,191.58975,148.73306
746470,191.8682,148.63496
746520,191.96121,148.54173
746574,191.90775,148.6481
746628,191.68637,148.85364
746680,191.58029,148.99205
746737,191.11047,149.26205
746793,190.56143,149.54916
746841,190.013,149.66025
746895,189.25256,149.6618
746944,188.73026,149.51614
746993,188.16501,150.69528
747050,187.37073,150.68903
747113,186.61801,150.61467
747180,185.85895,150.75903
747222,185.24297,150.81311
747274,184.56897,150.8808
747336,183.78093,150.94861
747385,183.15085,151.182
747445,182.6748,151.31354
747504,181.93918,151.36603
747555,181.19012,151.45815
747617,180.52457,151.56815
747682,179.8837,151.92007
747740,179.24176,152.08609
747800,178.60828,152.00232
747858,178.00957,152.31256
747914,177.49606,152.13734
747981,176.98615,152.12202
748048,176.56552,151.8192
748105,176.10593,151.69803
748156,175.6499,151.95007
748217,175.15973,151.639
748281,174.69325,151.17857
748336,174.24425,150.89828
748385,173.88058,150.82169
748448,173.4297,150.76093
748499,172.9211,150.44379
748550,172.60799,150.5863
748605,172.36803,150.77402
748651,172.13792,150.60698
748705,172.03943,150.4036
748758,172.02322,150.24509
748813,172.01247,150.25577
748861,172.0246,150.53168
748914,172.14992,150.37491
748976,172.30377,150.17477
749027,172.50845,150.10428
749081,172.6859,150.01993
749135,172.92493,149.94458
749187,173.08516,149.78937
749244,173.19762,150.0279
749295,173.44754,150.1081
749349,173.75153,150.16557
749403,174.18796,150.06963
749456,174.66388,150.04414
749520,175.17339,150.1846
749593,175.77911,150.26137
749663,176.62979,150.14787
749735,177.66666,150.30191
749794,178.99863,150.6305
749868,180.49304,150.95721
749917,181.93268,151.02948
749974,183.6006,151.26807
750033,185.53058,151.98697
750099,187.46155,152.76317
750168,189.42033,153.81216
750215,190.92262,155.10406
750278,192.3451,155.70462
750333,193.60187,156.01903
750385,194.55325,156.78207
750440,195.56485,157.0007
750499,195.72803,157.56729
750554,195.70096,157.95857
750618,195.37033,157.62532
750684,194.73993,156.52554
750733,193.73984,155.27173
750788,192.95674,154.04425
750844,192.55327,153.9137
750912,191.81352,152.4837
750979,191.63196,153.22693
751028,191.61218,152.19177
751082,191.65247,151.45651
751133,190.99445,151.08643
751188,190.39685,151.2591
751241,190.18239,150.96248
751293,189.96957,150.92856
751346,189.86035,150.92538
751406,189.73993,151.17194
751451,189.19717,151.09395
751502,188.74976,151.37772
751552,188.70209,151.86185
751607,188.59998,152.2807
751659,188.95007,152.90219
751721,189.2539,153.35718
751777,189.21356,152.09464
751836,189.42125,150.44913
751891,189.7316,147.97241
751943,190.09923,146.22192
751998,190.65585,144.54733
752048,191.31165,143.67363
752100,191.8872,143.08955
752162,192.41287,142.90102
752215,192.87589,143.10391
752271,193.40787,144.34674
752327,194.10692,145.99503
752387,194.56781,147.71461
752449,194.90372,150.25365
752508,194.40247,152.39528
752562,194.57372,154.58913
752610,194.73029,156.62015
752661,194.99036,158.7753
752714,195.31989,160.42477
752781,195.68922,161.99359
752831,196.37683,163.68939
752882,197.13531,165.40027
752939,197.82983,166.60144
752995,198.64206,167.55066
753052,198.82983,168.59134
753111,198.77078,169.04037
753167,198.56013,169.08983
753227,197.77448,168.22025
753282,197.76122,168.10765
753337,197.98141,168.51797
753399,198.12802,168.18259
753453,198.13751,168.04141
753506,191.9946,163.362
753562,187.3797,160.20737
753619,184.0841,157.7427
753670,181.72897,155.89154
753735,180.17104,154.3641
753784,179.15118,153.26498
753842,178.53886,152.60025
753891,178.30322,152.07309
753949,178.52289,151.50667
754008,179.08647,151.32101
754069,180.06348,151.39484
754118,181.29169,151.53046
754175,182.53165,151.45941
754235,184.04984,151.59052
754281,185.8675,152.2288
754327,187.71423,152.94455
754387,189.60986,153.94818
754441,191.06476,155.20609
754495,192.45169,155.78113
754552,193.68182,156.07642
754615,194.61324,156.82512
754664,195.60983,157.03296
754721,195.76175,157.59149
754777,195.72626,157.97673
754844,195.38931,157.63895
754914,194.75415,156.53575
754983,193.75052,155.27939
755046,192.96475,154.04999
755111,192.55927,153.918
755181,191.81802,152.48694
755230,191.63531,153.22937
755299,191.61472,152.19359
755363,191.65436,151.45786
755421,190.99588,151.08746
755484,190.39792,151.25986
755557,190.1832,150.96304
755616,189.97018,150.92899
755687,189.86081,150.9257
755749,189.74026,151.17216
755805,189.19742,151.09412
755883,188.74994,151.37784
755945,188.70224,151.86195
756014,188.6001,152.28076
756070,188.95015,152.90225
756122,189.25397,153.35721
756182,189.21362,152.09467
756231,189.42128,150.44916
756282,189.73163,147.97243
756342,190.09924,146.22194
756395,190.65585,144.54735
756455,191.31165,143.67365
756515,191.88724,143.08957
756586,192.41287,142.90102
756639,192.8759,143.10391
756691,193.4079,144.34674
756745,194.10693,145.99503
756797,194.56781,147.71461
756856,194.90372,150.25365
756918,194.40247,152.39528
756963,194.57372,154.58913
757022,194.73029,156.62015
757080,194.99036,158.7753
757135,195.31989,160.42477
757185,195.68922,161.99359
757248,196.37683,163.68939
757296,197.13531,165.40027
757351,197.82983,166.60144
757403,198.64206,167.55066
757455,198.82983,168.59134
757519,198.77078,169.04037
757580,198.56013,169.08983
757630,197.77448,168.22025
757692,197.76122,168.10765
757753,197.98141,168.51797
757817,198.12802,168.18259
757874,198.13751,168.04141
757936,191.9946,163.362
757992,187.3797,160.20737
758040,184.0841,157.7427
758091,181.72897,155.89154
758147,180.17104,154.3641
758200,179.15118,153.26498
758253,178.53886,152.60025
758313,178.30322,152.07309
758363,178.52289,151.50667
758418,179.08647,151.32101
758475,180.06348,151.39484
758536,181.29169,151.53046
758604,182.53165,151.45941
758653,184.04984,151.59052
758708,185.8675,152.2288
758767,187.71423,152.94455
758817,189.60986,153.94818
758870,191.06476,155.20609
758922,192.45169,155.78113
758975,193.68182,156.07642
759029,194.61324,156.82512
759081,195.60983,157.03296
759136,195.76175,157.59149
759189,195.72626,157.97673
759247,195.38931,157.63895
759296,194.75415,156.53575
759347,193.75052,155.27939
759403,192.96475,154.04999
759452,192.55927,153.918
759507,191.81802,152.48694
759553,191.63531,153.22937
759607,191.61472,152.19359
759659,191.65436,151.45786
759728,190.99588,151.08746
759800,190.39792,151.25986
759858,190.1832,150.96304
759928,189.97018,150.92899
759988,189.86081,150.9257
760049,189.74026,151.17216
760117,189.19742,151.09412
760173,188.74994,151.37784
760229,188.70224,151.86195
760288,188.6001,152.28076
760352,188.95015,152.90225
760420,189.25397,153.35721
760491,189.21362,152.09467
760552,189.42128,150.44916
760605,189.73163,147.97243
760668,190.09924,146.22194
760720,190.65585,144.54735
760771,191.31165,143.67365
760825,191.88724,143.08957
760877,192.41287,142.90102
760930,192.8759,143.10391
760983,193.4079,144.34674
761041,194.10693,145.99503
761092,194.56781,147.71461
761149,194.90372,150.25365
761205,194.40247,152.39528
761267,194.57372,154.58913
